lang,threads,s_per_token,s_min,s_max
C,1,0.095093,0.092635,0.103724
Rust,1,0.068662,0.067554,0.069842
C,2,0.058941,0.055841,0.062150
Rust,2,0.047642,0.042739,0.056408
C,4,0.052944,0.044026,0.063412
Rust,4,0.045265,0.041660,0.056013
C,10,0.054969,0.049128,0.067682
Rust,10,0.048047,0.038323,0.055417
